Feature,Correlation
vomitoxin_ppb,1.0
79,0.3020728132043495
60,0.3020184768237377
75,0.3013992690904582
54,0.29981341224167124
49,0.29954468390569944
50,0.29765433665192864
51,0.295706615018765
64,0.29340365454940026
71,0.29196418669576585
52,0.29018288619269944
81,0.28867305379449915
43,0.2880018983712097
72,0.28720843554476383
41,0.2863564532558975
55,0.28495694546189443
83,0.2844040188170967
58,0.2843738654771815
73,0.2842956250047551
76,0.2810406550236166
63,0.2795205122078996
59,0.2789024022266059
66,0.27886832688711394
69,0.27877671963868966
61,0.278390977421512
78,0.2765966970062132
48,0.2761525393207559
56,0.2761338311130719
65,0.27546697710940327
68,0.2751959399114865
47,0.26943680457595676
53,0.2686312765038449
84,0.2681858720597329
57,0.2679340037086186
77,0.26685516055454783
67,0.26671708781826414
80,0.26248733589051965
70,0.26231871474376084
40,0.2619068920427969
62,0.26142584770542504
32,0.2568433877320786
82,0.25617779875909574
46,0.2548920335337727
85,0.25247610295161504
33,0.2514432617018233
38,0.24975237261280006
45,0.24946379581365372
27,0.24926341143859068
42,0.24840522609812937
39,0.24818271756802227
74,0.24709795431528458
35,0.2449089900944699
37,0.2427939237680647
36,0.2418236589197566
86,0.23742182803116435
23,0.234884888096817
29,0.23411387816917806
30,0.22687641272382247
44,0.2186326323797138
18,0.21271665980501275
87,0.21217186949867226
89,0.20982195959460925
22,0.20441818380228713
24,0.20247144277535328
34,0.2005163332294289
26,0.20032667628498457
19,0.1980414075303967
25,0.19480482198499455
17,0.19411443585720556
28,0.19408581905920766
13,0.19166522084124474
91,0.18153477574067575
90,0.17680166345242998
21,0.175005014214205
15,0.17047515238385358
31,0.1695037274908391
88,0.16795981470468413
8,0.16670491794748962
11,0.16189700382521666
16,0.1566076071591743
12,0.15638260157913925
93,0.15623348500037695
95,0.15612010831568607
14,0.15593721229202243
10,0.1551848764335487
4,0.15514607245880216
5,0.15170745523227913
7,0.14917370164118346
2,0.14616609749652468
9,0.14182351867416984
3,0.1373443664022364
20,0.13693506633183908
6,0.1362453009553502
92,0.13546101730266982
1,0.11984250660930638
442,0.1152263523415757
0,0.11494271373073045
94,0.10608867742030222
443,0.10235683185092383
96,0.09916402438231094
439,0.09493566232942598
438,0.09043788621195545
434,0.08951395216618001
441,0.08912437064908407
396,0.08616840124519265
397,0.08318130363930938
383,0.08315694125818886
447,0.08299340259544058
433,0.08208386752858107
427,0.08193578550827002
432,0.0811995489911668
446,0.08079493462456919
430,0.0803424232263573
440,0.07879719747527586
382,0.07877531645944212
371,0.07864032767387198
391,0.07824697783415492
405,0.07779046679564165
425,0.07720995357115151
384,0.07678407981678714
389,0.07645480040943355
388,0.07545083223493648
393,0.07534210921057738
437,0.07504504752818882
428,0.07496177011229349
98,0.07486924311870224
415,0.07477827924871829
366,0.07447087100906584
410,0.0744572107131122
400,0.07302804793705912
406,0.07263902563569884
402,0.07216352851236427
420,0.07193636738747092
426,0.07175099099476999
379,0.07143078354771583
422,0.07131815091237119
409,0.07112516176363134
97,0.07099155590512356
408,0.07030455014571084
380,0.06963702586764507
399,0.06936415894017954
